Unnamed: 0,brand,name,price,n_of_reviews,n_of_loves,review_score,size,clean_product,category_Anti-Aging,category_BB_&_CC_Cream,category_Bath_&_Shower,category_Beauty_Supplements,category_Blemish_&_Acne_Treatments,category_Blotting_Papers,category_Body_Lotions_&_Body_Oils,category_Cellulite_&_Stretch_Marks,category_Decollete_&_Neck_Creams,category_Exfoliators,category_Eye_Creams_&_Treatments,category_Eye_Masks,category_Face_Masks,category_Face_Oils,category_Face_Primer,category_Face_Serums,category_Face_Sunscreen,category_Face_Wash_&_Cleansers,category_Facial_Peels,category_Foundation,category_Hair_Oil,category_Highlighter,category_Holistic_Wellness,category_Mini_Size,category_Mists_&_Essences,category_Moisturizer_&_Treatments,category_Moisturizers,category_Night_Creams,category_Setting_Spray_&_Powder,category_Sheet_Masks,category_Skincare,category_Tinted_Moisturizer,category_Toners,category_Tools,category_Value_&_Gift_Sets,reviews_to_loves_ratio,return_on_reviews,price_per_ounce,product_name_std,brand_name_std,match_key,category
150,Fresh,Rose Deep Hydration Sleeping Mask,50.0,456,2397,4.6886,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.02,1.03,42.37,rose_deep_hydration_sleeping_mask,fresh,fresh_rose_deep_hydration_sleeping_mask,Moisturizers
151,Herbivore,Pink Cloud Rosewater Moisture Creme,48.0,999,52366,4.4585,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.91,0.45,28.24,pink_cloud_rosewater_moisture_creme,herbivore,herbivore_pink_cloud_rosewater_moisture_creme,Moisturizers
152,Fresh,Rose Floral Toner,40.0,811,61025,4.1196,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.33,0.51,4.71,rose_floral_toner,fresh,fresh_rose_floral_toner,Moisturizers
153,bareMinerals,Prime Time BB Tinted Primer Broad Spectrum SPF 30,27.0,292,15276,4.0685,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91,1.39,27.0,prime_time_bb_tinted_primer_broad_spectrum_spf_30,bareminerals,bareminerals_prime_time_bb_tinted_primer_broad_spectrum_spf_30,Moisturizers
154,IT Cosmetics,Your Skin But Better‚ CC+ Airbrush Perfecting Powder‚ with SPF 50+,35.0,215,24423,3.6186,0.33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,1.68,106.06,your_skin_but_better‚_cc_airbrush_perfecting_powder‚_with_spf_50,it_cosmetics,it_cosmetics_your_skin_but_better‚_cc_airbrush_perfecting_powder‚_with_spf_50,
155,Dermalogica,Dynamic Skin Recovery SPF50 Moisturizer,73.0,89,544,4.7753,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.36,5.37,42.94,dynamic_skin_recovery_spf50_moisturizer,dermalogica,dermalogica_dynamic_skin_recovery_spf50_moisturizer,Moisturizers
156,REN Clean Skincare,Evercalm‚ Overnight Recovery Balm,48.0,130,14035,4.5615,1.02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.93,3.51,47.06,evercalm‚_overnight_recovery_balm,ren_clean_skincare,ren_clean_skincare_evercalm‚_overnight_recovery_balm,
157,First Aid Beauty,Ultra Repair Hydra-Firm Sleeping Cream,38.0,427,30207,4.3068,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.41,1.01,22.35,ultra_repair_hydra_firm_sleeping_cream,first_aid_beauty,first_aid_beauty_ultra_repair_hydra_firm_sleeping_cream,Moisturizers
158,Tatcha,Gold Camellia Beauty Oil,95.0,122,30100,4.6557,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,3.82,95.0,gold_camellia_beauty_oil,tatcha,tatcha_gold_camellia_beauty_oil,Moisturizers
159,Origins,A Perfect World‚Ñ¢ SPF 40 Age-Defense Moisturizer with White Tea,45.0,227,10605,3.5463,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.14,1.56,26.47,a_perfect_world‚ñ¢_spf_40_age_defense_moisturizer_with_white_tea,origins,origins_a_perfect_world‚ñ¢_spf_40_age_defense_moisturizer_with_white_tea,
160,Josie Maran,Argan Daily Moisturizer SPF 47 ,34.0,1000,33639,3.877,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97,0.39,17.0,argan_daily_moisturizer_spf_47,josie_maran,josie_maran_argan_daily_moisturizer_spf_47,Moisturizers
161,IT Cosmetics,Miracle Water 3-in-1 Micellar Cleanser,38.0,160,12640,4.5062,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.27,2.82,4.47,miracle_water_3_in_1_micellar_cleanser,it_cosmetics,it_cosmetics_miracle_water_3_in_1_micellar_cleanser,Moisturizers
